Epoch,Train Loss,Val Loss
1,1.2067546504916566,1.332197946190034
2,0.9240665597747072,1.322492003840888
3,0.8792063064647443,1.3295567031674738
4,0.8519725581010182,1.328449627697068
5,0.8299798416970956,1.3236880086412366
6,0.8131984306104255,1.3631130064893888
7,0.8003579528644832,1.33288985170774
8,0.7872713977640325,1.3207999999891191
9,0.7770039301930052,1.3151704476983754
10,0.7670614475553686,1.3203556005586714
11,0.7573463650664898,1.2983994603957103
12,0.7489857917482202,1.3121677085057202
13,0.743724893379693,1.2768321465325836
14,0.734495915728386,1.3021760062883363
15,0.7275859953779162,1.274098251489985
16,0.7190236310164134,1.3632561804464198
17,0.7140233139197032,1.2968065242639324
18,0.707086182483519,1.273206447594918
19,0.7014138735605009,1.2357561152253376
20,0.6941488626027348,1.2636110022564062
21,0.6886130000003661,1.2354844337541786
22,0.6849359931367817,1.255317555577963
23,0.6783477664896936,1.2423711479110209
24,0.6714842164456242,1.2526590466099297
25,0.6666342739504997,1.2698385931501452
26,0.6615974609297935,1.226771949121616
27,0.6588954163922204,1.2546483186267363
28,0.6535936873669577,1.241020067026151
29,0.6486857081904556,1.2473021618671865
30,0.6434376612757191,1.2719197545275591
31,0.6418284351777549,1.2238990036433175
32,0.6364002505035111,1.2496876616605976
33,0.7026135976266379,1.222691534549598
34,0.6729537033673488,1.226764660953675
35,0.6516674283779029,1.1904006676385868
36,0.6333235403805068,1.2036458361868891
37,0.614842072339973,1.1820620722418664
38,0.5965685745983412,1.2274400483841863
39,0.5817101002040536,1.1982047941860736
40,0.5622838848468029,1.1409949804312431
41,0.5495517737335629,1.159507729063098
42,0.5362914144691795,1.1299731049361643
43,0.5212447874473803,1.034226656360114
44,0.5068469808258191,1.0498880819236271
45,0.4962879476222125,1.0435574636763374
46,0.4848275569352236,1.0201888516445288
47,0.474113686217202,1.009070186807005
48,0.4653836356419505,1.0107957868768065
49,0.4558835970632958,1.0149735838374836
50,0.4447772518402398,0.9811401805221636
51,0.436734402691475,1.051659861267013
52,0.4272705764330999,0.963106305207182
53,0.4240132578996697,0.958010538212405
54,0.4171946022847686,0.9808858319016912
55,0.4110472771254452,0.9255333779842262
56,0.4026968462148098,0.9153348803645212
57,0.3957544621644598,0.9355859602457725
