Epoch,Train Loss,Val Loss
1,1.0208271518470011,1.3243549331541984
2,0.8792832903022335,1.2970875123495698
3,0.8225516462171983,1.295246838241495
4,0.7831165830037513,1.2755312297933845
5,0.7483157718701586,1.2546330023837347
6,0.7083052445883127,1.238867893654813
7,0.6687314305243854,1.2421024377628038
8,0.6216522502879912,1.224000076452891
9,0.5795455676577203,1.1263816587386593
10,0.5336608864571628,1.1027903044095604
11,0.49006643366544045,1.0677148046032074
12,0.45125325344298306,0.9869690197770313
13,0.41282697558788184,0.9555027071506746
14,0.38110574877705056,0.9045624088856482
15,0.35397521535202453,0.9163695070692288
16,0.3275480585741496,0.8750244872544402
17,0.30627933813797636,0.8658411954679797
18,0.2837207789784102,0.7651099347940056
19,0.2682342186257219,0.7577092386381601
20,0.25058744410850314,0.7755371405873247
21,0.23453564284691325,0.7657267792570975
22,0.22359514821423082,0.7228525530907416
23,0.21175594791553326,0.6885059501535149
24,0.20018445016735012,0.7142543845599697
25,0.19002116826605142,0.7335637248651956
26,0.1779255275110532,0.7702838925905126
27,0.1699688790700066,0.7181615805433642
28,0.16318628084221448,0.7151053272267823
29,0.1563506687243555,0.7227144388742345
30,0.14755678829858876,0.725673567063065
31,0.14213000268634765,0.7480794404463101
32,0.13394609551654107,0.7265581523859372
33,0.12824766122418574,0.7183186592914725
34,0.12320537983119391,0.727764174502383
35,0.11715988442903574,0.7484769718621367
36,0.11142143015546636,0.7351098451563107
37,0.1058451722200015,0.814474445917914
38,0.10115810532140905,0.7679365463154291
39,0.09663566147159297,0.8328624334066145
40,0.0937898013114881,0.818091066293819
41,0.08961287013560486,0.7926677506296865
42,0.08579403091288249,0.8550372139741016
43,0.0831743128964849,0.8139258209736117
44,0.07861546042746893,0.8161314354147963
45,0.07616129839531054,0.8501537070479445
46,0.0759488755238268,0.860832509815052
47,0.07187989574100262,0.882147474635032
48,0.07002497184720727,0.8653720540385093
49,0.06814250359326746,0.8461965288846723
50,0.06352087726247811,0.829409149305154
